algoritmo utilizado,numero a buscar,tamano de n,tiempo real,encontrado
2,1360839354,50000,3.0994415283e-06,-1
2,1493283650,50000,1.9073486328e-06,-1
2,1843349527,50000,3.0994415283e-06,-1
2,1980098116,50000,3.0994415283e-06,-1
2,2109248666,50000,1.9073486328e-06,-1
2,2147445644,50000,1.9073486328e-06,-1
2,2147470852,50000,2.1457672119e-06,-1
 , ,promedio,=sum(D506:D525)/count(D506:D525), 
2,0,100000,2.8610229492e-06,1
2,5000,100000,2.8610229492e-06,-1
2,61396,100000,4.0531158447e-06,-1
2,152503,100000,3.0994415283e-06,-1
2,214826,100000,3.0994415283e-06,-1
2,322486,100000,3.0994415283e-06,1
2,3128036,100000,3.0994415283e-06,1
2,6337399,100000,1.9073486328e-06,1
2,10393545,100000,3.0994415283e-06,1
2,14700764,100000,1.9073486328e-06,-1
2,187645041,100000,1.9073486328e-06,-1
2,450057883,100000,2.1457672119e-06,-1
2,1295390003,100000,2.1457672119e-06,-1
2,1360839354,100000,3.0994415283e-06,-1
2,1493283650,100000,2.8610229492e-06,-1
2,1843349527,100000,1.9073486328e-06,-1
2,1980098116,100000,2.1457672119e-06,-1
2,2109248666,100000,1.9073486328e-06,-1
2,2147445644,100000,2.1457672119e-06,-1
2,2147470852,100000,3.0994415283e-06,-1
 , ,promedio,=sum(D527:D546)/count(D527:D546), 
2,0,200000,3.0994415283e-06,1
2,5000,200000,3.0994415283e-06,-1
2,61396,200000,2.8610229492e-06,-1
2,152503,200000,3.0994415283e-06,-1
2,214826,200000,2.8610229492e-06,-1
2,322486,200000,2.8610229492e-06,1
2,3128036,200000,3.0994415283e-06,1
2,6337399,200000,3.8146972656e-06,1
2,10393545,200000,4.0531158447e-06,1
2,14700764,200000,3.8146972656e-06,-1
2,187645041,200000,1.9073486328e-06,-1
2,450057883,200000,1.9073486328e-06,-1
2,1295390003,200000,2.1457672119e-06,-1
2,1360839354,200000,2.1457672119e-06,-1
2,1493283650,200000,1.9073486328e-06,-1
2,1843349527,200000,3.0994415283e-06,-1
2,1980098116,200000,2.8610229492e-06,-1
2,2109248666,200000,2.8610229492e-06,-1
2,2147445644,200000,2.1457672119e-06,-1
2,2147470852,200000,2.1457672119e-06,-1
 , ,promedio,=sum(D548:D567)/count(D548:D567), 
2,0,400000,2.8610229492e-06,1
